Day,Susceptible,Infected,Recovered,All Preventions,No Preventions,Only Hands,Only Mask,Only Social Dist,Hands and Mask,Hands and Social Dist,Mask and Social Dist
0.0,40001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,39998,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,39992,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,39987,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,39967,98.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,39921,218.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,39833,452.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
8.0,39632,1045.0,21.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0
9.0,39146,2275.0,41.0,5.0,11.0,6.0,3.0,4.0,4.0,3.0,5.0
10.0,38103,4788.0,99.0,12.0,19.0,10.0,14.0,16.0,8.0,7.0,13.0
11.0,36004,9447.0,222.0,29.0,40.0,25.0,33.0,32.0,19.0,19.0,25.0
12.0,31855,16583.0,460.0,55.0,82.0,54.0,62.0,68.0,33.0,50.0,56.0
13.0,25049,24794.0,1066.0,105.0,193.0,134.0,128.0,168.0,94.0,127.0,117.0
14.0,16279,30603.0,2316.0,202.0,440.0,311.0,282.0,349.0,224.0,268.0,240.0
15.0,8482,31989.0,4887.0,426.0,890.0,686.0,602.0,750.0,482.0,558.0,493.0
16.0,3764,28902.0,9669.0,850.0,1748.0,1349.0,1139.0,1493.0,993.0,1094.0,1003.0
17.0,1633,22241.0,17043.0,1580.0,2838.0,2331.0,2050.0,2566.0,1845.0,2007.0,1826.0
18.0,804,13697.0,25860.0,2627.0,3953.0,3477.0,3180.0,3671.0,2935.0,3167.0,2850.0
19.0,492,6738.0,32919.0,3640.0,4599.0,4352.0,4088.0,4420.0,3884.0,4111.0,3825.0
20.0,375,2825.0,36876.0,4319.0,4828.0,4801.0,4596.0,4759.0,4502.0,4647.0,4424.0
