Day,Susceptible,Infected,Recovered,All Preventions,No Preventions,Only Hands,Only Mask,Only Social Dist,Hands and Mask,Hands and Social Dist,Mask and Social Dist
0,40001,1,0,5209,4884,4923,4923,5017,4951,5043,5051
1,40000,2,0,5209,4884,4923,4923,5016,4951,5043,5051
2,39998,4,0,5209,4883,4923,4923,5016,4951,5043,5050
3,39988,14,0,5209,4883,4921,4923,5012,4950,5042,5048
4,39970,32,0,5206,4877,4919,4923,5011,4950,5039,5045
5,39930,71,1,5201,4872,4916,4915,5001,4946,5037,5042
6,39849,151,2,5192,4860,4903,4903,4991,4941,5029,5030
7,39661,337,4,5179,4824,4882,4879,4954,4923,5005,5015
8,39285,703,14,5150,4764,4812,4843,4888,4888,4961,4979
9,38479,1491,32,5081,4604,4690,4750,4768,4819,4859,4908
10,36778,3152,72,4936,4295,4467,4542,4493,4662,4651,4732
11,33303,6546,153,4610,3663,4012,4144,3985,4300,4205,4384
12,27360,12301,341,4077,2649,3231,3388,3102,3672,3474,3767
13,18933,20352,717,3184,1447,2115,2371,1896,2699,2417,2804
14,10600,27879,1523,2161,508,1028,1318,881,1611,1357,1736
15,4874,31904,3224,1241,121,356,566,305,827,592,866
16,2107,31196,6699,675,19,118,237,74,372,215,397
17,980,26380,12642,376,4,41,102,24,165,84,184
18,554,18379,21069,238,3,10,50,10,96,44,103
19,382,10218,29402,174,0,6,23,8,66,32,73
20,321,4553,35128,149,0,4,19,5,54,27,63
21,289,1818,37895,136,0,3,15,5,50,24,56
22,278,702,39022,131,0,2,14,3,49,24,55
23,276,278,39448,131,0,2,13,3,48,24,55
24,275,107,39620,131,0,2,13,3,47,24,55
25,275,46,39681,131,0,2,13,3,47,24,55
26,274,15,39713,131,0,2,13,3,46,24,55
27,274,4,39724,131,0,2,13,3,46,24,55
28,274,2,39726,131,0,2,13,3,46,24,55
29,274,1,39727,131,0,2,13,3,46,24,55
30,274,1,39727,131,0,2,13,3,46,24,55
31,274,0,39728,131,0,2,13,3,46,24,55
